operator|version|certified|created|company|repos|ocpversion|sdkversion|operatortype|source-redhat|source-community|source-marketplace|source-certified|source-operatorhub|channel|default-channel
3scale-operator.v0.3.0|0.3.0|false|2019-05-30T22:40:00Z|Red Hat|https://github.com/3scale/3scale-operator|4.6|v0.16.0|golang|yes|||||alpha|alpha
3scale-operator.v0.4.2|0.4.1|false|2019-05-30T22:40:00Z|Red Hat|https://github.com/3scale/3scale-operator|4.6|v0.16.0|golang|yes|||||alpha|alpha
3scale-operator.v0.5.5|0.5.5|false|2019-05-30T22:40:00Z|Red Hat|https://github.com/3scale/3scale-operator|4.6|v0.16.0|golang|yes|||||alpha|alpha
3scale-operator.v0.6.1|0.6.1|false|2019-05-30T22:40:00Z|Red Hat|https://github.com/3scale/3scale-operator|4.6|v0.16.0|golang|yes|||||alpha|alpha
aci-containers-operator.v1.0.0|1.0.0|false|2020-01-09T12:00:00Z|Cisco Systems Inc|https://github.com/noironetworks/aci-containers|4.6|||||yes|yes|||
advanced-cluster-management.v2.0.4|2.0.4|true|2020-10-14T13:38:14Z|Red Hat|https://github.com/3scale/3scale-operator|4.6|v0.16.0|golang|yes|||||alpha|alpha
akka-cluster-operator-certified.v1.0.0|1.0.0|true|2019-06-28T15:23:00Z|Lightbend, Inc.|https://github.com/lightbend/akka-cluster-operator|4.6|v0.6.1-0.20190322190857-b7dd8232e32c|golang|||yes|yes||alpha|alpha
akka-cluster-operator.v1.0.0|1.0.0|false|2019-06-28T15:23:00Z|Lightbend, Inc.|https://github.com/lightbend/akka-cluster-operator|4.6|v0.6.1-0.20190322190857-b7dd8232e32c|golang|||||yes|alpha|alpha
alcide-kaudit-operator.v0.0.3|0.0.3|true|2020-04-07 12:59:59|Alcide|https://github.com/lightbend/akka-cluster-operator|4.6|v0.6.1-0.20190322190857-b7dd8232e32c|golang||||yes||alpha|alpha
amq-broker-operator.v0.13.0|0.13.0|false|2020-03-11T08:16:32Z|Red Hat|https://github.com/rh-messaging/activemq-artemis-operator|4.6|v0.8.2|golang|yes|||||current|current
amq-broker-operator.v0.15.0|0.15.0|false|2020-06-10T14:18:22Z|Red Hat|https://github.com/rh-messaging/activemq-artemis-operator|4.6|v0.8.2|golang|yes|||||current|current
amq-broker-operator.v0.9.1|0.9.1|false|2019-12-09T08:16:32Z|Red Hat, Inc.|https://github.com/rh-messaging/amq-broker-operator|4.6|v0.8.2|golang|yes|||||current|current
amq-broker-operator.v0.9.3|0.9.3|false|2020-03-25T08:16:32Z|Red Hat|https://github.com/rh-messaging/activemq-artemis-operator|4.6|v0.8.2|golang|yes|||||current|current
amq-online.1.6.0|1.6.0|false|2019-02-19T00:00:00Z|Red Hat, Inc||4.6|||yes||||| alpha| ""
amq7-interconnect-operator.v1.2.1|1.2.1|false|2019-06-28T22:00:00Z|Red Hat|https://github.com/interconnectedcloud/qdr-operator|4.6|||yes|||||beta|
amqstreams.v1.5.3|1.5.3|false|2020-05-25T10:00:00Z|Red Hat|https://github.com/strimzi/strimzi-kafka-operator|4.6|||yes||||||
anaconda-team-edition.v6.1.3|6.1.3|false|2020-08-27T04:49:49Z|Anaconda, Inc.|github.com/anaconda|4.6|||||yes|yes||unknown|unknown
anchore-engine-operator.v0.1.11|0.1.11|true|2019-12-13T07:00:00Z|Anchore Inc.|https://github.com/anchore/engine-operator|4.6|v1.1.0|helm||||yes||alpha|alpha
anchore-engine-operator.v0.1.3|0.1.3|true|2019-12-13T07:00:00Z|Anchore Inc.|https://github.com/anchore/engine-operator|4.6|v1.1.0|helm|||||yes|alpha|alpha
anzograph-operator.v1.3.400|1.3.4|true|2020-10-15|Cambridge Semantics||4.6|||||yes|yes|| alpha| ""
api-operator.v1.2.2|1.2.2|false|2020-10-23T03:00:00.000Z|WSO2|https://github.com/wso2/k8s-api-operator|4.6|||||||yes|stable|stable
apicast-community-operator.v0.2.1|0.2.1|false|2019-10-27T22:40:00Z|Red Hat|https://github.com/3scale/apicast-operator|4.6|||||||yes| alpha|
apicast-operator.v0.2.4|0.2.4|false|2019-10-27T22:40:00Z|Red Hat|https://github.com/3scale/apicast-operator|4.6|||yes||||| alpha|
apicast-operator.v0.3.1|0.3.1|false|2019-10-27T22:40:00Z|Red Hat|https://github.com/3scale/apicast-operator|4.6|||yes||||| alpha|
apicurio-registry.v0.0.3-v1.2.3.final|0.0.3-v1.2.3.final|false|2020-07-08|Apicurio|https://github.com/Apicurio/apicurio-registry-operator|4.6|v0.17.0|golang|||||yes|alpha|alpha
apicuritooperator.v7.7.1|7.7.1|false|2020-06-09 10:50:34|Red Hat|https://github.com/Apicurio/apicurio-operators/tree/master/apicurito|4.6|||yes|||||unknown|unknown
appdynamics-operator.v0.4.1|0.4.1|false|2019-11-30 12:00:00|AppDynamics LLC|https://github.com/Appdynamics/appdynamics-operator|4.6|||||||yes|alpha|alpha
appdynamics-operator.v0.4.3|0.4.3|true|2020-03-26 12:00:00|AppDynamics LLC|https://github.com/Appdynamics/appdynamics-operator|4.6||||||yes||alpha|alpha
appranix.v2.3.0|2.3.0|true|2020-02-18 10:47:57|Appranix, Inc|https://github.com/operator-framework/community-operators/tree/master/upstream-community-operators/appranix|4.6|||||yes|yes||unknown|unknown
appranix.v2.4.0|2.4.0|true|2020-03-04 12:34:42|Appranix, Inc|https://github.com/operator-framework/community-operators/tree/master/upstream-community-operators/appranix|4.6|||||yes|yes||unknown|unknown
appsody-operator.v0.6.0|0.6.0|true|2020-05-21 09:00:00|Appsody|https://github.com/appsody/appsody-operator|4.6|v0.15.2|golang|||||yes|beta|beta
appsody-operator.v0.6.1|0.6.1|true|2020-06-26 09:00:00|Appsody|https://github.com/appsody/appsody-operator|4.6|v0.15.2|golang||||yes||beta|beta
aqua-operator.v1.0.2|1.0.2|false|2020-03-25T08:00:00Z|Aqua Security, Inc.|https://github.com/aquasecurity/aqua-operator|4.6|v0.15.1|golang|||||yes||
aqua-operator.v1.0.4|1.0.4|true|2020-03-25T08:00:00Z|Aqua Security, Inc.|https://github.com/aquasecurity/aqua-operator|4.6|v0.15.1|golang|||yes|yes|||
argocd-operator-helm.v0.0.7|0.0.7|false|2020-07-07 01:01:01|Disposable Zone|https://github.com/disposab1e/argocd-operator-helm.git|4.6|||||||yes|unknown|unknown
argocd-operator.v0.0.14|0.0.14|false|2020-10-09 15:19:40|Argo CD Community|https://github.com/argoproj-labs/argocd-operator|4.6|v0.18.0|golang|||||yes| "alpha"| "alpha"
artifactory-ha-operator.v1.1.2|1.1.2|true|2020-03-25 00:00:00+00:00|JFrog|https://github.com/jfrog/JFrog-Cloud-Installers/tree/openshift4/Openshift4|4.6||||||yes||unknown|unknown
atlasmap-operator.v0.3.0|0.3.0|false|2019-06-10T06:42:43Z|AtlasMap|https://github.com/atlasmap/atlasmap-operator|4.6|v0.15.1|golang|||||yes|alpha|alpha
atomicorp-helm-operator.v0.0.1|0.0.1|false|2020-05-05T12:00:00Z|Atomicorp|N/A|4.6|||||yes|yes||unknown|unknown
aws-sources-operator.v0.2.0|0.2.0|false|2020-07-18T12:00:00Z|TriggerMesh Inc.|https://github.com/triggermesh/aws-event-sources|4.6|||||yes|yes|||
awss3operator.v1.0.0|1.0.0|false|2019-05-02 16:12:00|Red Hat|https://github.com/yard-turkey/aws-s3-operator|4.6|||||||yes||
awss3operator.v1.0.1|1.0.1|false|2019-05-02 16:12:00|Community|https://github.com/yard-turkey/aws-s3-provisioner|4.6|||||||yes||
ax-cps-operator.v1.0.0|1.0.0|true|2020-01-30T12:45:55+05:30|Appranix, Inc|https://github.com/operator-framework/community-operators/tree/master/upstream-community-operators/appranix|4.6|||||||yes|unknown|unknown
ax-cps-operator.v2.3.0|2.3.0|true|2020-02-10T13:27:50+05:30|Appranix, Inc|https://github.com/operator-framework/community-operators/tree/master/upstream-community-operators/appranix|4.6|||||||yes|unknown|unknown
azure-service-operator.v0.37.0|0.37.0|false|2020-08-20 12:00:00|Microsoft|https://github.com/Azure/azure-service-operator|4.6|||||||yes||
banzaicloud-kafka-operator.0.3.1|0.3.1|false|2019-05-28T08:00:00Z|Banzai Cloud|https://github.com/banzaicloud/kafka-operator/tree/master|4.6|||||||yes|unknown|unknown
banzaicloud-kafka-operator.0.6.1|0.6.1|false|2019-10-15T08:00:00Z|Banzai Cloud|https://github.com/banzaicloud/kafka-operator/tree/master|4.6|||||||yes|unknown|unknown
businessautomation-operator.7.8.1|7.8.1|true|2020-09-07 08:37:06|Red Hat|https://github.com/kiegroup/kie-cloud-operator|4.6|v0.19.2|golang|yes||||| stable| stable
camel-k-operator.v1.2.0|1.2.0|false|2020-10-12T02:45:00Z|The Apache Software Foundation|https://github.com/apache/camel-k|4.6|||||||yes|stable|stable
can-operator.v0.0.2|0.0.2|false|2020-10-15T10:18:00Z|Avanseus Technologies Pvt. Ltd.|N/A|4.6|||||yes|yes||unknown|unknown
cass-operator.v1.0.0|1.0.0|true|2020-03-31|DataStax|https://github.com/datastax/cass-operator|4.6|v0.17.0|golang|||yes|yes|||
cassandra-operator.v2.0.0|2.0.0|false|2019-09-04 12:00:00|Instaclustr|https://github.com/instaclustr/cassandra-operator|4.6|v0.16.0|golang|||||yes||
cert-manager-operator.v0.15.2|0.15.2|true|2020-05-04T12:00:00Z|Jetstack|https://github.com/jetstack/cert-manager|4.6|||||yes|yes|||
chaosblade-operator.v0.5.1|0.5.1|false|2020-02-11T15:40:00Z|Alibaba Cloud|https://github.com/chaosblade-io/chaosblade-operator|4.6|v0.17.0|golang|||||yes|alpha|alpha
chaosoperator.v0.1.0|0.1.0|false|2019-07-15 10:28:08|MayaData|https://github.com/litmuschaos/chaos-operator|4.6|v0.15.2|golang|||||yes||
chaosoperator.v1.3.0|1.3.0|false|2020-04-16T02:45:37Z|MayaData|https://github.com/litmuschaos/chaos-operator|4.6|v0.15.2|golang|||||yes||
cic-operator.v1.7.6|1.7.6|false|2020-02-06|Citrix|https://github.com/citrix/citrix-k8s-ingress-controller|4.6||||||yes|||
citrix-adc-istio-ingress-gateway-operator.v1.0.1|1.0.1|false|2019-12-03 14:16:17|Citrix|https://github.com/citrix/citrix-istio-adaptor|4.6||||||yes|||
citrix-api-gateway-operator.v0.0.1|1.8.19|false|06-26-2020|Citrix|https://github.com/citrix/citrix-k8s-ingress-controller|4.6|||||yes|yes|||
clickhouse-operator.v0.10.0|0.10.0|false|2019-11-11T10:00:00Z|Altinity|https://github.com/altinity/clickhouse-operator|4.6|||||||yes||
cloud-native-postgresql.v0.3.0|0.3.0|true|2020-09-01T11:43:00Z|2ndQuadrant|https://github.com/citrix/citrix-k8s-ingress-controller|4.6||||||yes|||
cluster-manager.v0.2.0|0.2.0|false|2020-10-13T20:00:31Z|Red Hat, Inc.|https://github.com/open-cluster-management/registration-operator|4.6|||||||yes| stable| stable
clusterkubedescheduleroperator.4.6.0-202010200139.p0|4.6.0-202010200139.p0|false|2020/04/18|Red Hat, Inc.|https://github.com/openshift/cluster-kube-descheduler-operator|4.6|||yes||||| "beta"| "beta"
clusterlogging.4.6.0-202010201329.p0|4.6.0-202010201329.p0|false|2018-08-01T08:00:00Z|Red Hat|https://github.com/openshift/cluster-kube-descheduler-operator|4.6|||yes||||| "beta"| "beta"
